Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
caffeine,4,1,143,82231,19740,2014-12-13 08:45:11 +0000 UTC,2022-09-13 14:37:39 +0000 UTC,Java,61,89,3,557,No Releases,12197
AndroidViewAnimations,3,1,2,2132,1568,2014-06-23 03:53:13 +0000 UTC,2022-09-13 04:38:17 +0000 UTC,Java,9,22,53,81,No Releases,12180
zuul,6,1,26,24503,8860,2013-03-13 18:53:57 +0000 UTC,2022-09-13 13:31:22 +0000 UTC,Java,5,570,234,300,No Releases,12168
jib,7,1,17,67600,19173,2018-01-22 18:30:43 +0000 UTC,2022-09-13 13:43:59 +0000 UTC,Java,141,2126,99,1337,No Releases,12131
banner,6,1,47,4651,628,2016-04-22 05:50:25 +0000 UTC,2022-09-13 16:22:23 +0000 UTC,Java,0,15,225,904,No Releases,12126
druid,4,1,215,1148906,203621,2012-10-23 19:08:07 +0000 UTC,2022-09-13 19:19:27 +0000 UTC,Java,49,7349,1353,3107,No Releases,12037
ip2region,2,1,9,708267,3236,2015-11-02 00:43:13 +0000 UTC,2022-09-13 19:18:48 +0000 UTC,Java,0,60,36,140,No Releases,11998
spring-analysis,2,1,1,53430,138,2016-09-09 07:46:32 +0000 UTC,2022-09-13 14:45:33 +0000 UTC,Java,0,6,10,3,No Releases,11963
DataX,4,1,19,84891,8606,2018-01-18 10:09:47 +0000 UTC,2022-09-13 12:18:03 +0000 UTC,Java,1,84,814,269,No Releases,11941
PictureSelector,5,1,50,43636,10994,2017-01-04 07:47:39 +0000 UTC,2022-09-13 15:48:23 +0000 UTC,Java,111,7,257,2175,No Releases,11883
piggymetrics,6,1,3,19942,426,2015-03-29 17:56:31 +0000 UTC,2022-09-13 11:53:14 +0000 UTC,Java,2,22,0,0,No Releases,11869
jd-gui,4,2,11,17488,2868,2015-03-25 05:28:41 +0000 UTC,2022-09-13 14:14:02 +0000 UTC,Java,18,9,173,172,No Releases,11615
VasSonic,4,1,21,38904,8889,2017-08-01 08:35:13 +0000 UTC,2022-09-13 13:42:59 +0000 UTC,Java,10,70,41,203,No Releases,11585
pulsar,6,1,79,1626678,157210,2016-06-28 07:00:03 +0000 UTC,2022-09-13 16:32:08 +0000 UTC,Java,59,10330,1890,3617,No Releases,11562
eureka,5,1,18,50219,19618,2012-07-26 22:23:07 +0000 UTC,2022-09-13 18:20:16 +0000 UTC,Java,142,737,44,557,No Releases,11466
